"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Sep 24 16:30:57 COT 2022","Sat Sep 24 16:31:00 COT 2022","3015","","Elements on the list of products and their functions: View Detail of product","","Elements on the list of products and their functions: View Detail of product","Then the products are shown in a list","Then the products are shown in a list","verifiying if 5 is greater than 0"
"passed","Sat Sep 24 16:57:48 COT 2022","Sat Sep 24 16:57:51 COT 2022","2786","","Payment: The page show an error if the user dont have payment saved","","Payment: The page show an error if the user dont have payment saved","Given The user is logged into BetLeague","Given The user is logged into BetLeague",""
"passed","Sat Sep 24 15:19:13 COT 2022","Sat Sep 24 15:19:16 COT 2022","2198","","Elements on the list of products and their functions: Apply Filters","","Elements on the list of products and their functions: Apply Filters","When the user type on input filter","When the user type on input filter",""
"passed","Sun Sep 25 13:35:55 COT 2022","Sun Sep 25 13:35:55 COT 2022","13","","Admin actions and permissions: Create a empty categroy","","Admin actions and permissions: Create a empty categroy","When the admin clicks on new category botton","When the admin clicks on new category botton",""
"passed","Sat Sep 24 13:20:56 COT 2022","Sat Sep 24 13:21:00 COT 2022","3342","","Create a product and see on the list: Create an empty product","","Create a product and see on the list: Create an empty product","When the user doesn't fills the entire form and create the product","When the user doesn't fills the entire form and create the product",""
"passed","Sun Sep 25 09:37:19 COT 2022","Sun Sep 25 09:37:20 COT 2022","73","","Login flow into BetLeague: The user can logged if have an admin user","","Login flow into BetLeague: The user can logged if have an admin user","And The admin will see the next options to perform","And The admin will see the next options to perform","verifiying if Ver categorias is Ver categorias"
"passed","Sat Sep 24 13:20:56 COT 2022","Sat Sep 24 13:20:56 COT 2022","18","","Create a product and see on the list: Create an empty product","","Create a product and see on the list: Create an empty product","Then the page will redirect to a form with the options","Then the page will redirect to a form with the options",""
"passed","Sat Sep 24 16:30:52 COT 2022","Sat Sep 24 16:30:52 COT 2022","6","","Elements on the list of products and their functions: View Detail of product","","Elements on the list of products and their functions: View Detail of product","Then the page will show a new page","Then the page will show a new page","verifiying if https://betleague-af205.firebaseapp.com/productDetail/Producto%20TA?nombre=Producto%20TA contains https://betleague-af205.firebaseapp.com/productDetail"
"passed","Sun Sep 25 12:36:36 COT 2022","Sun Sep 25 12:36:36 COT 2022","115","","Admin actions and permissions: The admin create a new category","","Admin actions and permissions: The admin create a new category","Then the page will show a table with the categories","Then the page will show a table with the categories","verifiying if Lista de categorias is Lista de categorias"
"passed","Sun Sep 25 14:11:05 COT 2022","Sun Sep 25 14:11:05 COT 2022","17","","Elements on the list of products and their functions: Other categories are displayed","","Elements on the list of products and their functions: Other categories are displayed","And The user is on auction page","And The user is on auction page",""
"passed","Tue Sep 27 11:59:08 COT 2022","Tue Sep 27 11:59:08 COT 2022","115","","Create a product and see on the list: The user create a new product","","Create a product and see on the list: The user create a new product","When the user choose a kind of auction","When the user choose a kind of auction",""
"passed","Sat Sep 24 16:30:44 COT 2022","Sat Sep 24 16:30:44 COT 2022","14","","Elements on the list of products and their functions: View Detail of product","","Elements on the list of products and their functions: View Detail of product","And The user is on auction page","And The user is on auction page",""
"passed","Sun Sep 25 12:36:39 COT 2022","Sun Sep 25 12:36:39 COT 2022","0","","Admin actions and permissions: The admin create a new category","","Admin actions and permissions: The admin create a new category","","",""
"passed","Sat Sep 24 14:33:15 COT 2022","Sat Sep 24 14:33:18 COT 2022","2972","","Elements on the list of products and their functions: Elements are displayed, clickeable and available","","Elements on the list of products and their functions: Elements are displayed, clickeable and available","Given The user is logged into BetLeague","Given The user is logged into BetLeague",""
"passed","Sun Sep 25 09:37:18 COT 2022","Sun Sep 25 09:37:18 COT 2022","294","","Login flow into BetLeague: The user can logged if have an admin user","","Login flow into BetLeague: The user can logged if have an admin user","When The user login with username and password from admin","When The user login with username and password from admin",""
"passed","Sat Sep 24 13:21:41 COT 2022","Sat Sep 24 13:21:41 COT 2022","33","","Elements on User Profile: The user modifies his personal data on the page","","Elements on User Profile: The user modifies his personal data on the page","Then the page will show a form with the next options","Then the page will show a form with the next options",""
"passed","Sun Sep 25 13:35:55 COT 2022","Sun Sep 25 13:35:55 COT 2022","18","","Elements on the list of products and their functions: The categories are presente on the page","","Elements on the list of products and their functions: The categories are presente on the page","And The user is on auction page","And The user is on auction page",""
"passed","Sun Sep 25 09:37:18 COT 2022","Sun Sep 25 09:37:19 COT 2022","1030","","Login flow into BetLeague: The user can logged if have an admin user","","Login flow into BetLeague: The user can logged if have an admin user","Then The user should see a modal with the username","Then The user should see a modal with the username",""
"passed","Sun Sep 25 13:35:55 COT 2022","Sun Sep 25 13:35:55 COT 2022","131","","Admin actions and permissions: Create a empty categroy","","Admin actions and permissions: Create a empty categroy","Then the page will show a table with the categories","Then the page will show a table with the categories","verifiying if Lista de categorias is Lista de categorias"
"passed","Sat Sep 24 15:19:13 COT 2022","Sat Sep 24 15:19:13 COT 2022","17","","Elements on the list of products and their functions: Apply Filters","","Elements on the list of products and their functions: Apply Filters","And The user is on auction page","And The user is on auction page",""
"passed","Sat Sep 24 13:21:52 COT 2022","Sat Sep 24 13:21:52 COT 2022","64","","Elements on User Profile: The user modifies his personal data on the page","","Elements on User Profile: The user modifies his personal data on the page","Then the page will redirect to the user profile","Then the page will redirect to the user profile",""
"passed","Sat Sep 24 16:57:51 COT 2022","Sat Sep 24 16:57:52 COT 2022","1047","","Payment: The page show an error if the user dont have payment saved","","Payment: The page show an error if the user dont have payment saved","When the user open the payment list page","When the user open the payment list page",""
"passed","Tue Sep 27 10:13:20 COT 2022","Tue Sep 27 10:13:21 COT 2022","1029","","Login flow into BetLeague: The user can logged if have a existing account","","Login flow into BetLeague: The user can logged if have a existing account","Then The user should see a modal with the username","Then The user should see a modal with the username",""
